Create date,Close date,Pipeline,Target Launch Date,Kickoff Call,Technology_Count,Uses_Google_Tag_Manager,Uses_Salesforce,Uses_Microsoft_Office_365,Region,Create_Year_y,Create_Month_y,Create_Quarter,Create_YearMonth_y,Company_ID,Did_Upsell,Create_YearMonth
2024-04-02 14:52:00,2024-05-24 11:09:00,Project Success Plan,2023-11-30,,15,1,1,1,United States,2022,8,3,2022-08,United States_,1,2024-04
2024-11-11 10:03:00,,Project Success Plan,,,9,0,1,1,United Kingdom,2025,1,1,2025-01,United Kingdom_,0,2024-11
2024-05-22 11:03:00,2024-08-16 11:32:00,Project Success Plan,2024-02-06,,15,1,1,1,United States,2022,8,3,2022-08,United States_,1,2024-05
2024-05-22 20:52:00,2024-09-20 10:56:00,Project Success Plan,,2024-05-31,15,1,1,1,United States,2022,8,3,2022-08,United States_,1,2024-05
2024-05-22 11:25:00,2024-11-22 10:40:00,Project Success Plan,,2024-05-23,15,1,1,1,United States,2022,8,3,2022-08,United States_,1,2024-05
2024-08-23 11:27:00,2024-08-30 11:04:00,Project Success Plan,,,12,1,1,0,United States,2023,3,1,2023-03,United States_,1,2024-08
2024-06-09 22:48:00,2024-09-20 10:27:00,Project Success Plan,,2024-06-13,11,1,1,0,Jamaica,2022,12,4,2022-12,Jamaica_,0,2024-06
2023-11-06 10:51:00,2024-05-17 11:12:00,Project Success Plan,,2023-11-27,9,1,0,0,United States,2022,8,3,2022-08,United States_,1,2023-11
2023-11-08 12:59:00,2024-02-22 09:35:00,Project Success Plan,2023-11-24,2023-11-16,0,0,0,0,,2023,10,4,2023-10,_,1,2023-11
2023-06-12 13:59:00,2024-01-05 12:36:00,Project Success Plan,2023-09-02,2023-07-18,11,1,0,1,United States,2023,1,1,2023-01,United States_,1,2023-06
2023-09-11 16:37:00,2024-03-19 10:12:00,Project Success Plan,2023-10-23,2023-10-12,14,1,1,1,United States,2022,8,3,2022-08,United States_,1,2023-09
