Associated Company (Primary),Amount,Deal Type,Deal Stage,Deal probability,Deal Score,Is Closed Won,Is closed lost,Is Closed (numeric),Is Deal Closed?,Is Open (numeric),Contract End Date,Close Date,Last Activity Date,Days to close,Recency_Days
Associated_4920f699,30000.0,New,Closed Lost,0.0,,False,True,1.0,True,0.0,,2024-07-29 22:44:00,2024-10-01 09:11:00,27.0,195.0
Associated_f6bbf0e9,18000.0,New,Negotiation,0.6,25.0,False,False,0.0,False,1.0,,2025-02-14 11:57:00,2024-12-02 09:39:00,227.0,133.0
Associated_b74e69c4,250000.0,New,In Trial - Trial in Progress,0.7,35.0,False,False,0.0,False,1.0,,2025-01-31 14:25:00,2025-02-14 08:55:00,220.0,59.0
Associated_4e22c870,0.0,Growth,In Trial - Trial in Progress,0.7,22.0,False,False,0.0,False,1.0,2025-12-31,2024-11-30 12:46:00,2025-02-20 14:26:00,158.0,53.0
Associated_df9f506c,80000.0,New,Deep Dive. PSP Drafted,0.2,4.0,False,False,0.0,False,1.0,,2025-02-14 12:43:00,2024-09-09 08:00:00,235.0,218.0
Associated_f8c848ca,30000.0,New,Closed Lost,0.0,,False,True,1.0,True,0.0,,2024-09-30 14:52:00,2024-08-08 11:55:00,101.0,249.0
Associated_7817e1d6,250000.0,New,Negotiation,0.6,32.0,False,False,0.0,False,1.0,,2025-01-10 13:45:00,2025-01-30 13:30:00,203.0,74.0
Associated_7908c3ce,60000.0,New,Negotiation,0.6,9.0,False,False,0.0,False,1.0,,2025-04-11 22:49:00,2024-10-28 19:01:00,298.0,168.0
Associated_3131dcee,177000.0,New,Closed Won,1.0,,True,False,1.0,True,0.0,,2024-12-23 12:57:00,2025-02-05 15:50:00,195.0,68.0
Associated_7059f1f6,2500.0,PS,Closed Won,1.0,,True,False,1.0,True,0.0,,2024-09-03 09:32:00,2024-05-24 10:30:00,101.0,325.0
Associated_1bb3381b,30000.0,New,Closed Lost,0.0,,False,True,1.0,True,0.0,,2024-09-04 21:55:00,2024-11-14 11:19:00,105.0,151.0
Associated_daef39a4,7500.0,PS,Closed Won,1.0,,True,False,1.0,True,0.0,,2024-09-03 09:46:00,2024-09-10 11:41:00,110.0,216.0
Associated_17166d4f,30000.0,New,Closed Lost,0.0,,False,True,1.0,True,0.0,,2024-07-19 09:35:00,,70.0,
Associated_64358a15,30000.0,New,Closed Lost,0.0,,False,True,1.0,True,0.0,,2025-02-05 12:00:00,2024-11-04 10:05:00,273.0,161.0
Associated_da884e18,0.0,New,Partner Referrals ,0.05,7.0,False,False,0.0,False,1.0,,,,0.0,
Associated_ef811650,0.0,New,Partner Referrals ,0.05,11.0,False,False,0.0,False,1.0,,,2025-01-06 15:08:00,0.0,98.0
Associated_ef811650,0.0,New,Partner Referrals ,0.05,12.0,False,False,0.0,False,1.0,,,2024-10-08 12:00:00,0.0,188.0
Associated_ef811650,0.0,New,Partner Referrals ,0.05,11.0,False,False,0.0,False,1.0,,,2024-09-10 12:00:00,0.0,216.0
Associated_ef811650,0.0,New,Partner Referrals ,0.05,11.0,False,False,0.0,False,1.0,,,2024-09-10 12:00:00,0.0,216.0
Associated_ef811650,0.0,New,Partner Referrals ,0.05,13.0,False,False,0.0,False,1.0,,,2024-08-16 10:30:00,0.0,241.0
Associated_ef811650,0.0,New,Partner Referrals ,0.05,7.0,False,False,0.0,False,1.0,,,,0.0,
Associated_ef811650,0.0,New,Partner Referrals ,0.05,7.0,False,False,0.0,False,1.0,,,,0.0,
Associated_ef811650,0.0,New,Partner Referrals ,0.05,7.0,False,False,0.0,False,1.0,,,,0.0,
Associated_ef811650,0.0,New,Partner Referrals ,0.05,7.0,False,False,0.0,False,1.0,,,,0.0,
Associated_ef811650,0.0,New,Partner Referrals ,0.05,7.0,False,False,0.0,False,1.0,,,,0.0,
Associated_ef811650,0.0,New,Partner Referrals ,0.05,7.0,False,False,0.0,False,1.0,,,,0.0,
Associated_ef811650,0.0,New,Partner Referrals ,0.05,7.0,False,False,0.0,False,1.0,,,,0.0,
Associated_ef811650,0.0,New,Partner Referrals ,0.05,7.0,False,False,0.0,False,1.0,,,,0.0,
Associated_8cf7766f,0.0,New,Closed Lost,0.0,,False,True,1.0,True,0.0,,2024-09-23 14:44:00,2025-02-06 11:22:00,146.0,67.0
Associated_a9dac8f8,30000.0,New,Closed Won,1.0,,True,False,1.0,True,0.0,,2024-08-03 15:31:00,2024-08-08 16:00:00,96.0,249.0
Associated_20f7a1df,10000.0,New,Closed Lost,0.0,,False,True,1.0,True,0.0,,2024-08-15 14:14:00,2024-06-28 09:13:00,112.0,290.0
Associated_5aea6385,18000.0,New,Closed Won,1.0,,True,False,1.0,True,0.0,,2024-10-07 10:03:00,2024-12-04 16:16:00,166.0,131.0
Associated_1e50a2dc,24000.0,New,Closed Won,1.0,,True,False,1.0,True,0.0,,2024-08-14 22:00:00,2024-09-11 15:29:00,113.0,215.0
Associated_4e00de70,31000.0,New,Deep Dive. PSP Drafted,0.2,2.0,False,False,0.0,False,1.0,,2025-02-14 12:44:00,2024-07-23 15:30:00,298.0,265.0
Associated_b4313dad,0.0,New,Partner Referrals ,0.05,7.0,False,False,0.0,False,1.0,,,,0.0,
Associated_4fcf9474,0.0,New,Partner Referrals ,0.05,10.0,False,False,0.0,False,1.0,,,2024-11-27 10:35:00,0.0,138.0
Associated_fd4acbcd,0.0,New,Partner Referrals ,0.05,11.0,False,False,0.0,False,1.0,,,2024-10-01 23:25:00,0.0,195.0
Associated_9147ca4c,0.0,New,Partner Referrals ,0.05,7.0,False,False,0.0,False,1.0,,,2024-05-08 12:34:00,0.0,341.0
Associated_4b1b6780,66000.0,New,In Trial - Trial in Progress,0.7,,False,False,0.0,False,1.0,,2024-10-28 16:51:00,2025-02-20 12:00:00,192.0,53.0
Associated_b7e9b7fa,0.0,New,Partner Referrals ,0.05,7.0,False,False,0.0,False,1.0,,,2024-05-08 12:34:00,0.0,341.0
Associated_9b392932,0.0,New,Partner Referrals ,0.05,11.0,False,False,0.0,False,1.0,,,2025-02-18 13:45:00,0.0,55.0
Associated_c1582932,0.0,New,Partner Referrals ,0.05,7.0,False,False,0.0,False,1.0,,,,0.0,
Associated_5ed85479,0.0,New,Partner Referrals ,0.05,7.0,False,False,0.0,False,1.0,,,2024-05-08 12:34:00,0.0,341.0
Associated_90d991b4,0.0,New,Partner Referrals ,0.05,7.0,False,False,0.0,False,1.0,,,2024-06-04 15:28:00,0.0,314.0
Associated_1d55af16,0.0,New,Partner Referrals ,0.05,9.0,False,False,0.0,False,1.0,,,2024-09-23 22:54:00,0.0,203.0
Associated_323bf825,60000.0,New,BANT Deal. Pain ID'ed,0.1,4.0,False,False,0.0,False,1.0,,2024-10-31 15:45:00,2024-09-05 09:40:00,196.0,221.0
Associated_141fa164,50000.0,Growth,Closed Lost,0.0,,False,True,1.0,True,0.0,,2024-09-23 14:51:00,2024-09-18 16:30:00,158.0,208.0
Associated_77e954c3,2000.0,New,Closed Lost,0.0,,False,True,1.0,True,0.0,,2024-09-23 07:49:00,2024-09-17 10:53:00,159.0,209.0
